National Center for Education Statistics,,,,
Student financial aid, selected years,,,
198455,Durham Technical Community College,Any aid,Number receiving,109
198455,Durham Technical Community College,Federal grants,Number receiving,79
198455,Durham Technical Community College,-,Average amount,4734
198455,Durham Technical Community College,State/Local grants,Number receiving,26
198455,Durham Technical Community College,-,Average amount,1361
198455,Durham Technical Community College,Institutional grants,Number receiving,48
198455,Durham Technical Community College,-,Average amount,1168
198455,Durham Technical Community College,Loans,Number receiving,26
198455,Durham Technical Community College,-,Average amount,7472
198464,East Carolina University,First-time full-time undergraduates,Total,4244
198464,East Carolina University,Any aid,Number receiving,3198
198464,East Carolina University,Federal grants,Number receiving,1353
198464,East Carolina University,-,Average amount,4500
198464,East Carolina University,State/Local grants,Number receiving,1321
198464,East Carolina University,-,Average amount,2675
198464,East Carolina University,Institutional grants,Number receiving,1762
198464,East Carolina University,-,Average amount,3611
198464,East Carolina University,Loans,Number receiving,2609
198464,East Carolina University,-,Average amount,7041
198491,Edgecombe Community College,First-time full-time undergraduates,Total,161
198491,Edgecombe Community College,Any aid,Number receiving,153
198491,Edgecombe Community College,Federal grants,Number receiving,145
198491,Edgecombe Community College,-,Average amount,4194
198491,Edgecombe Community College,State/Local grants,Number receiving,12
198491,Edgecombe Community College,-,Average amount,1251
198491,Edgecombe Community College,Institutional grants,Number receiving,15
198491,Edgecombe Community College,-,Average amount,1468
198491,Edgecombe Community College,Loans,Number receiving,61
198491,Edgecombe Community College,-,Average amount,5933
198507,Elizabeth City State University,First-time full-time undergraduates,Total,264
198507,Elizabeth City State University,Any aid,Number receiving,256
198507,Elizabeth City State University,Federal grants,Number receiving,208
198507,Elizabeth City State University,-,Average amount,5591
198507,Elizabeth City State University,State/Local grants,Number receiving,210
198507,Elizabeth City State University,-,Average amount,4081
198507,Elizabeth City State University,Institutional grants,Number receiving,138
198507,Elizabeth City State University,-,Average amount,3599
198507,Elizabeth City State University,Loans,Number receiving,194
198507,Elizabeth City State University,-,Average amount,5461
198534,Fayetteville Technical Community College,First-time full-time undergraduates,Total,1056
198534,Fayetteville Technical Community College,Any aid,Number receiving,852
198534,Fayetteville Technical Community College,Federal grants,Number receiving,687
198534,Fayetteville Technical Community College,-,Average amount,5044
198534,Fayetteville Technical Community College,State/Local grants,Number receiving,152
198534,Fayetteville Technical Community College,-,Average amount,1361
198534,Fayetteville Technical Community College,Institutional grants,Number receiving,21
198534,Fayetteville Technical Community College,-,Average amount,1298
198534,Fayetteville Technical Community College,Loans,Number receiving,456
198534,Fayetteville Technical Community College,-,Average amount,5185
198543,Fayetteville State University,First-time full-time undergraduates,Total,627
198543,Fayetteville State University,Any aid,Number receiving,469
198543,Fayetteville State University,Federal grants,Number receiving,389
198543,Fayetteville State University,-,Average amount,5292
198543,Fayetteville State University,State/Local grants,Number receiving,419
198543,Fayetteville State University,-,Average amount,2300
198543,Fayetteville State University,Institutional grants,Number receiving,455
198543,Fayetteville State University,-,Average amount,2715
198543,Fayetteville State University,Loans,Number receiving,360
198543,Fayetteville State University,-,Average amount,5326
198552,Forsyth Technical Community College,First-time full-time undergraduates,Total,738
198552,Forsyth Technical Community College,Any aid,Number receiving,492
198552,Forsyth Technical Community College,Federal grants,Number receiving,422
198552,Forsyth Technical Community College,-,Average amount,4173
198552,Forsyth Technical Community College,State/Local grants,Number receiving,133
198552,Forsyth Technical Community College,-,Average amount,1161
198552,Forsyth Technical Community College,Institutional grants,Number receiving,2
198552,Forsyth Technical Community College,-,Average amount,603
198552,Forsyth Technical Community College,Loans,Number receiving,96
198552,Forsyth Technical Community College,-,Average amount,4686
198570,Gaston College,First-time full-time undergraduates,Total,422
198570,Gaston College,Any aid,Number receiving,300
198570,Gaston College,Federal grants,Number receiving,247
198570,Gaston College,-,Average amount,4514
198570,Gaston College,State/Local grants,Number receiving,26
198570,Gaston College,-,Average amount,1134
198570,Gaston College,Institutional grants,Number receiving,10
198570,Gaston College,-,Average amount,1524
198570,Gaston College,Loans,Number receiving,0
198570,Gaston College,-,Average amount,-
198622,Guilford Technical Community College,First-time full-time undergraduates,Total,1218
